Project,Leave Management System (LMS) - Phase 1
Client,Meridian Corp
Prepared by,Stratpoint Pre-Sales Team
Version,1.0
Date,2026-04-10

MODULE,FEATURE ID,FEATURE,NOTES,STORY POINTS
Auth & Access Control,1.1,Supabase Auth (email + magic link),Managed auth; no external IdP dependency,3
Auth & Access Control,1.2,RBAC via Supabase RLS,Role stored in profiles; enforced at DB level,5
Auth & Access Control,1.3,Next.js middleware auth guard,Redirect unauthenticated; role-based route protection,2
Auth & Access Control,SUBTOTAL,,,10

Leave Request (Employee),2.1,Submit leave request form,"Leave type, dates, reason, optional file upload",5
Leave Request (Employee),2.2,Date validation (no past dates; end >= start),Client specified,2
Leave Request (Employee),2.3,Conflict check (overlapping approved leave),Client specified,3
Leave Request (Employee),2.4,Balance check before submission,Block if balance = 0 (except Emergency/Unpaid),3
Leave Request (Employee),2.5,Working days calculator,Display days requested excluding weekends,3
Leave Request (Employee),2.6,View own leave history with status filter,List + detail view,3
Leave Request (Employee),2.7,Cancel pending request,Employee-initiated only,2
Leave Request (Employee),SUBTOTAL,,,21

Manager Approval,3.1,Pending approvals list (direct reports only),"Sorted oldest first; badge count",3
Manager Approval,3.2,Request detail view,Full request info + action buttons,2
Manager Approval,3.3,Approve with optional note,Status → APPROVED,3
Manager Approval,3.4,Reject with mandatory reason (min 20 chars),Status → REJECTED,3
Manager Approval,3.5,Team calendar - monthly view,Color-coded by leave type,5
Manager Approval,SUBTOTAL,,,16

Leave Balance & Entitlement,4.1,Employee leave balance view (per type; current year),Real-time after approval,3
Leave Balance & Entitlement,4.2,HR: set/edit entitlement per employee per type,Grid edit UI,5
Leave Balance & Entitlement,4.3,Auto-deduct balance on approval,Transactional - balance + status update atomic,3
Leave Balance & Entitlement,4.4,CSV bulk import for entitlements,Annual reset; validated import,5
Leave Balance & Entitlement,SUBTOTAL,,,16

HR Admin & Reporting,5.1,All requests view with filters,"Dept, type, status, date range",5
HR Admin & Reporting,5.2,HR override request status,With mandatory reason; logged in audit,5
HR Admin & Reporting,5.3,Leave type management (add/edit/deactivate),"Name, default entitlement, carryover",5
HR Admin & Reporting,5.4,Leave utilization report (per employee; per type),Date range selector,8
HR Admin & Reporting,5.5,Department summary report,Avg leave days per dept,5
HR Admin & Reporting,5.6,Export any report to CSV,Generic export component,3
HR Admin & Reporting,SUBTOTAL,,,31

Notifications,6.1,Email: request submitted → manager,Includes link to request,3
Notifications,6.2,Email: approved/rejected → employee,Includes manager note/reason,3
Notifications,6.3,Email: cancelled → manager,Informational,2
Notifications,6.4,Email: entitlement updated → employee,HR-triggered,2
Notifications,6.5,Async email queue + retry logic,Non-blocking; retry on failure,5
Notifications,SUBTOTAL,,,15

Audit Log,7.1,Log all leave state changes (DB trigger),"Timestamp, actor, old/new state",3
Audit Log,7.2,Log entitlement changes,HR-initiated,2
Audit Log,7.3,Audit log viewer for HR Admin,Filterable by date/actor/action,5
Audit Log,7.4,Audit log CSV export,,3
Audit Log,SUBTOTAL,,,13

TOTAL PHASE 1,,,, 122

SPRINT ALLOCATION
Sprint,Scope,Story Points
Sprint 0,"Setup, BRD, PRD, Prototype, Architecture, Dev Tasks",—
Sprint 1,"Auth (1.1–1.3) + Leave Submission (2.1–2.7) + Approval (3.1–3.4)",36
Sprint 2,"Balance (4.1–4.4) + HR Admin (5.1–5.3) + Team Calendar (3.5)",34
Sprint 3,"Reporting (5.4–5.6) + Notifications (6.1–6.5) + Audit (7.1–7.4)",36
Sprint 4,"UAT, hardening, deployment, go-live, handover",~16
TOTAL,,122

TEAM COMPOSITION
Role,Sprint 0,Sprint 1-4
Project Manager,1,1
Solutions Architect,1,0.5 (advisory)
Tech Lead,1,1
Developer,2,3
QA Engineer,joins Day 7,1
DevOps Engineer,joins Day 9,0.5
UI/UX Designer,Sprint 0 (prototype),0.5

ASSUMPTIONS
1 story point = approx 4 hours of development effort
Sprint velocity target: 35-45 SP per 2-week sprint
Supabase project provisioned before Sprint 1 Day 1
QA effort tracked separately (not in SP count)
UI/UX prototype delivered in Sprint 0 using Figma Make; approved before Sprint 1 coding
Working days = Mon-Fri; Philippine public holidays not calculated in Phase 1
